pais_id,pais,año,mes,ccp,producto,distribución,unidad_med_distribución,consumo_per_cápita,uni_med_consumu_id,uni_med_consumo _per_capita
32,Argentina,2005,5,22110,Leche esterilizada,39320.62,Miles de litros,1.02,l,Litros
32,Argentina,2005,5,22110,Leche chocolatada,4490.63,Miles de litros,0.12,l,Litros
32,Argentina,2005,6,22110,Leche pasteurizada,101136.01,Miles de litros,2.63,l,Litros
32,Argentina,2005,6,22110,Leche esterilizada,39977.2,Miles de litros,1.04,l,Litros
32,Argentina,2005,6,22110,Leche chocolatada,1273.56,Miles de litros,0.03,l,Litros
32,Argentina,2005,7,22110,Leche pasteurizada,97875.16,Miles de litros,2.55,l,Litros
32,Argentina,2005,7,22110,Leche esterilizada,25702.66,Miles de litros,0.67,l,Litros
32,Argentina,2005,7,22110,Leche chocolatada,1255.78,Miles de litros,0.03,l,Litros
32,Argentina,2005,8,22110,Leche pasteurizada,107075.97,Miles de litros,2.78,l,Litros
32,Argentina,2005,8,22110,Leche esterilizada,30354.13,Miles de litros,0.79,l,Litros
32,Argentina,2005,8,22110,Leche chocolatada,2060.85,Miles de litros,0.05,l,Litros
32,Argentina,2005,9,22110,Leche pasteurizada,95371.2,Miles de litros,2.48,l,Litros
32,Argentina,2005,9,22110,Leche esterilizada,27451.81,Miles de litros,0.71,l,Litros
32,Argentina,2005,9,22110,Leche chocolatada,2034.2,Miles de litros,0.05,l,Litros
32,Argentina,2005,10,22110,Leche pasteurizada,95952.62,Miles de litros,2.49,l,Litros
32,Argentina,2005,10,22110,Leche esterilizada,28742.07,Miles de litros,0.75,l,Litros
32,Argentina,2005,10,22110,Leche chocolatada,1720.45,Miles de litros,0.04,l,Litros
32,Argentina,2005,11,22110,Leche pasteurizada,101682.83,Miles de litros,2.64,l,Litros
32,Argentina,2005,11,22110,Leche esterilizada,30660.74,Miles de litros,0.8,l,Litros
32,Argentina,2005,11,22110,Leche chocolatada,2365.1,Miles de litros,0.06,l,Litros
32,Argentina,2005,12,22110,Leche pasteurizada,100200.08,Miles de litros,2.6,l,Litros
32,Argentina,2005,12,22110,Leche esterilizada,29773.48,Miles de litros,0.77,l,Litros
32,Argentina,2005,12,22110,Leche chocolatada,3355.07,Miles de litros,0.09,l,Litros
32,Argentina,2006,1,22110,Leche pasteurizada,94760.72,Miles de litros,2.45,l,Litros
32,Argentina,2006,1,22110,Leche esterilizada,37702.64,Miles de litros,0.98,l,Litros
32,Argentina,2006,1,22110,Leche chocolatada,4035.83,Miles de litros,0.1,l,Litros
32,Argentina,2006,2,22110,Leche pasteurizada,96295.99,Miles de litros,2.49,l,Litros
32,Argentina,2006,2,22110,Leche esterilizada,28077.4,Miles de litros,0.73,l,Litros
32,Argentina,2006,2,22110,Leche chocolatada,2839.02,Miles de litros,0.07,l,Litros
32,Argentina,2006,3,22110,Leche pasteurizada,107725.16,Miles de litros,2.78,l,Litros
32,Argentina,2006,3,22110,Leche esterilizada,36610.98,Miles de litros,0.95,l,Litros
32,Argentina,2006,3,22110,Leche chocolatada,4388.68,Miles de litros,0.11,l,Litros
32,Argentina,2006,4,22110,Leche pasteurizada,96197.36,Miles de litros,2.48,l,Litros
32,Argentina,2006,4,22110,Leche esterilizada,34166.99,Miles de litros,0.88,l,Litros
32,Argentina,2006,4,22110,Leche chocolatada,3474.95,Miles de litros,0.09,l,Litros
32,Argentina,2006,5,22110,Leche pasteurizada,102663.69,Miles de litros,2.65,l,Litros
32,Argentina,2006,5,22110,Leche esterilizada,40883.91,Miles de litros,1.06,l,Litros
32,Argentina,2006,5,22110,Leche chocolatada,5500.79,Miles de litros,0.14,l,Litros
32,Argentina,2006,6,22110,Leche pasteurizada,102867.18,Miles de litros,2.65,l,Litros
32,Argentina,2006,6,22110,Leche esterilizada,42988.66,Miles de litros,1.11,l,Litros
32,Argentina,2006,6,22110,Leche chocolatada,1034.62,Miles de litros,0.03,l,Litros
32,Argentina,2006,7,22110,Leche pasteurizada,101083.88,Miles de litros,2.6,l,Litros
32,Argentina,2006,7,22110,Leche esterilizada,36188.71,Miles de litros,0.93,l,Litros
32,Argentina,2006,7,22110,Leche chocolatada,1807.38,Miles de litros,0.05,l,Litros
32,Argentina,2006,8,22110,Leche pasteurizada,107529.9,Miles de litros,2.77,l,Litros
32,Argentina,2006,8,22110,Leche esterilizada,26459.33,Miles de litros,0.68,l,Litros
32,Argentina,2006,8,22110,Leche chocolatada,2401.12,Miles de litros,0.06,l,Litros
32,Argentina,2006,9,22110,Leche pasteurizada,101046.14,Miles de litros,2.6,l,Litros
32,Argentina,2006,9,22110,Leche esterilizada,30023.83,Miles de litros,0.77,l,Litros
32,Argentina,2006,9,22110,Leche chocolatada,2840.96,Miles de litros,0.07,l,Litros
32,Argentina,2006,10,22110,Leche pasteurizada,102539.84,Miles de litros,2.64,l,Litros
32,Argentina,2006,10,22110,Leche esterilizada,33713.5,Miles de litros,0.87,l,Litros
32,Argentina,2006,10,22110,Leche chocolatada,2889.86,Miles de litros,0.07,l,Litros
32,Argentina,2006,11,22110,Leche pasteurizada,104892.71,Miles de litros,2.69,l,Litros
32,Argentina,2006,11,22110,Leche esterilizada,34753.99,Miles de litros,0.89,l,Litros
32,Argentina,2006,11,22110,Leche chocolatada,4517.6,Miles de litros,0.12,l,Litros
32,Argentina,2006,12,22110,Leche pasteurizada,103328.32,Miles de litros,2.65,l,Litros
32,Argentina,2006,12,22110,Leche esterilizada,32544.46,Miles de litros,0.84,l,Litros
32,Argentina,2006,12,22110,Leche chocolatada,5099.82,Miles de litros,0.13,l,Litros
32,Argentina,2007,1,22110,Leche pasteurizada,105864.56,Miles de litros,2.71,l,Litros
32,Argentina,2007,1,22110,Leche esterilizada,45507.2,Miles de litros,1.17,l,Litros
32,Argentina,2007,1,22110,Leche chocolatada,6616.82,Miles de litros,0.17,l,Litros
32,Argentina,2007,2,22110,Leche pasteurizada,102034.98,Miles de litros,2.61,l,Litros
32,Argentina,2007,2,22110,Leche esterilizada,34062.59,Miles de litros,0.87,l,Litros
32,Argentina,2007,2,22110,Leche chocolatada,7010.89,Miles de litros,0.18,l,Litros
32,Argentina,2007,3,22110,Leche pasteurizada,114028.41,Miles de litros,2.92,l,Litros
32,Argentina,2007,3,22110,Leche esterilizada,38362.41,Miles de litros,0.98,l,Litros
32,Argentina,2007,3,22110,Leche chocolatada,6810.28,Miles de litros,0.17,l,Litros
32,Argentina,2007,4,22110,Leche pasteurizada,104713.15,Miles de litros,2.68,l,Litros
32,Argentina,2007,4,22110,Leche esterilizada,35987.5,Miles de litros,0.92,l,Litros
32,Argentina,2007,4,22110,Leche chocolatada,6537.64,Miles de litros,0.17,l,Litros
32,Argentina,2007,5,22110,Leche pasteurizada,117934.2,Miles de litros,3.01,l,Litros
32,Argentina,2007,5,22110,Leche esterilizada,43370.73,Miles de litros,1.11,l,Litros
32,Argentina,2007,5,22110,Leche chocolatada,9461.29,Miles de litros,0.24,l,Litros
32,Argentina,2007,6,22110,Leche pasteurizada,112836.51,Miles de litros,2.88,l,Litros
32,Argentina,2007,6,22110,Leche esterilizada,42983.22,Miles de litros,1.1,l,Litros
32,Argentina,2007,6,22110,Leche chocolatada,3467.33,Miles de litros,0.09,l,Litros
32,Argentina,2007,7,22110,Leche pasteurizada,106274.01,Miles de litros,2.71,l,Litros
32,Argentina,2007,7,22110,Leche esterilizada,12680.99,Miles de litros,0.32,l,Litros
32,Argentina,2007,7,22110,Leche chocolatada,3194.11,Miles de litros,0.08,l,Litros
32,Argentina,2007,8,22110,Leche pasteurizada,108628.87,Miles de litros,2.77,l,Litros
32,Argentina,2007,8,22110,Leche esterilizada,36660.43,Miles de litros,0.93,l,Litros
32,Argentina,2007,8,22110,Leche chocolatada,4697.99,Miles de litros,0.12,l,Litros
32,Argentina,2007,9,22110,Leche pasteurizada,91385.44,Miles de litros,2.33,l,Litros
32,Argentina,2007,9,22110,Leche esterilizada,30726.26,Miles de litros,0.78,l,Litros
32,Argentina,2007,9,22110,Leche chocolatada,3740.7,Miles de litros,0.1,l,Litros
32,Argentina,2007,10,22110,Leche pasteurizada,98659.25,Miles de litros,2.51,l,Litros
32,Argentina,2007,10,22110,Leche esterilizada,26971.63,Miles de litros,0.69,l,Litros
32,Argentina,2007,10,22110,Leche chocolatada,3421.99,Miles de litros,0.09,l,Litros
32,Argentina,2007,11,22110,Leche pasteurizada,96417.97,Miles de litros,2.45,l,Litros
32,Argentina,2007,11,22110,Leche esterilizada,17925.06,Miles de litros,0.46,l,Litros
32,Argentina,2007,11,22110,Leche chocolatada,4992.32,Miles de litros,0.13,l,Litros
32,Argentina,2007,12,22110,Leche pasteurizada,94826.17,Miles de litros,2.41,l,Litros
32,Argentina,2007,12,22110,Leche esterilizada,24880.66,Miles de litros,0.63,l,Litros
32,Argentina,2007,12,22110,Leche chocolatada,4574.98,Miles de litros,0.12,l,Litros
32,Argentina,2008,1,22110,Leche pasteurizada,96375.5,Miles de litros,2.45,l,Litros
32,Argentina,2008,1,22110,Leche esterilizada,44830.86,Miles de litros,1.14,l,Litros
32,Argentina,2008,1,22110,Leche chocolatada,9503.51,Miles de litros,0.24,l,Litros
32,Argentina,2008,2,22110,Leche pasteurizada,97156.4,Miles de litros,2.46,l,Litros
32,Argentina,2008,2,22110,Leche esterilizada,30031,Miles de litros,0.76,l,Litros
32,Argentina,2008,2,22110,Leche chocolatada,7470.81,Miles de litros,0.19,l,Litros
