pais_id,pais,año,mes,ccp,producto,distribución,unidad_med_distribución_id,unidad_med_distribución,consumo_per_cápita,uni_med_consumu_id,uni_med_consumo _per_capita
32,Argentina,2001,2,22230,Yogur ,25929.14,t,Toneladas,0.7,kg,Kilogramos
32,Argentina,2001,2,22290,Postres lacteos y flanes,1427,t,Toneladas,0.04,kg,Kilogramos
32,Argentina,2001,3,22211,Leche en polvo entera ,6496.09,t,Toneladas,0.18,kg,Kilogramos
32,Argentina,2001,3,22212,Leche en polvo descremada,2173.29,t,Toneladas,0.06,kg,Kilogramos
32,Argentina,2001,3,22251,Quesos de baja humedad (pasta dura),3617.75,t,Toneladas,0.1,kg,Kilogramos
32,Argentina,2001,3,22251,Quesos de mediana humedad (pasta semidura),9632.14,t,Toneladas,0.26,kg,Kilogramos
32,Argentina,2001,3,22251,Quesos de alta humedad (pasta blanda),19972.47,t,Toneladas,0.54,kg,Kilogramos
32,Argentina,2001,3,22251,Queso fundido,165.43,t,Toneladas,0,kg,Kilogramos
32,Argentina,2001,3,22222,Dulce de leche,11080.71,t,Toneladas,0.3,kg,Kilogramos
32,Argentina,2001,3,22120,Crema,2812.75,t,Toneladas,0.08,kg,Kilogramos
32,Argentina,2001,3,22222,Leche condensada,938.2,t,Toneladas,0.03,kg,Kilogramos
32,Argentina,2001,3,22241,Manteca,2754.31,t,Toneladas,0.07,kg,Kilogramos
32,Argentina,2001,3,22230,Yogur ,29142.32,t,Toneladas,0.79,kg,Kilogramos
32,Argentina,2001,3,22290,Postres lacteos y flanes,2074,t,Toneladas,0.06,kg,Kilogramos
32,Argentina,2001,4,22211,Leche en polvo entera ,10155.83,t,Toneladas,0.28,kg,Kilogramos
32,Argentina,2001,4,22212,Leche en polvo descremada,1175.32,t,Toneladas,0.03,kg,Kilogramos
32,Argentina,2001,4,22251,Quesos de baja humedad (pasta dura),3506.38,t,Toneladas,0.1,kg,Kilogramos
32,Argentina,2001,4,22251,Quesos de mediana humedad (pasta semidura),8095.71,t,Toneladas,0.22,kg,Kilogramos
32,Argentina,2001,4,22251,Quesos de alta humedad (pasta blanda),18026.2,t,Toneladas,0.49,kg,Kilogramos
32,Argentina,2001,4,22251,Queso fundido,477.75,t,Toneladas,0.01,kg,Kilogramos
32,Argentina,2001,4,22222,Dulce de leche,9804.91,t,Toneladas,0.27,kg,Kilogramos
32,Argentina,2001,4,22120,Crema,2374.22,t,Toneladas,0.06,kg,Kilogramos
32,Argentina,2001,4,22222,Leche condensada,519.06,t,Toneladas,0.01,kg,Kilogramos
32,Argentina,2001,4,22241,Manteca,3167.81,t,Toneladas,0.09,kg,Kilogramos
32,Argentina,2001,4,22230,Yogur ,16020.32,t,Toneladas,0.43,kg,Kilogramos
32,Argentina,2001,4,22290,Postres lacteos y flanes,1248,t,Toneladas,0.03,kg,Kilogramos
32,Argentina,2001,5,22211,Leche en polvo entera ,7889.24,t,Toneladas,0.21,kg,Kilogramos
32,Argentina,2001,5,22212,Leche en polvo descremada,1768.22,t,Toneladas,0.05,kg,Kilogramos
32,Argentina,2001,5,22251,Quesos de baja humedad (pasta dura),4681.24,t,Toneladas,0.13,kg,Kilogramos
32,Argentina,2001,5,22251,Quesos de mediana humedad (pasta semidura),9219.55,t,Toneladas,0.25,kg,Kilogramos
32,Argentina,2001,5,22251,Quesos de alta humedad (pasta blanda),20395.8,t,Toneladas,0.55,kg,Kilogramos
32,Argentina,2001,5,22251,Queso fundido,325.04,t,Toneladas,0.01,kg,Kilogramos
32,Argentina,2001,5,22222,Dulce de leche,8572.27,t,Toneladas,0.23,kg,Kilogramos
32,Argentina,2001,5,22120,Crema,2376.16,t,Toneladas,0.06,kg,Kilogramos
32,Argentina,2001,5,22222,Leche condensada,711.85,t,Toneladas,0.02,kg,Kilogramos
32,Argentina,2001,5,22241,Manteca,2752.77,t,Toneladas,0.07,kg,Kilogramos
32,Argentina,2001,5,22230,Yogur ,17293.98,t,Toneladas,0.47,kg,Kilogramos
32,Argentina,2001,5,22290,Postres lacteos y flanes,1622,t,Toneladas,0.04,kg,Kilogramos
32,Argentina,2001,6,22211,Leche en polvo entera ,8622.28,t,Toneladas,0.23,kg,Kilogramos
32,Argentina,2001,6,22212,Leche en polvo descremada,1969.96,t,Toneladas,0.05,kg,Kilogramos
32,Argentina,2001,6,22251,Quesos de baja humedad (pasta dura),3828.57,t,Toneladas,0.1,kg,Kilogramos
32,Argentina,2001,6,22251,Quesos de mediana humedad (pasta semidura),9913.91,t,Toneladas,0.27,kg,Kilogramos
32,Argentina,2001,6,22251,Quesos de alta humedad (pasta blanda),20369.95,t,Toneladas,0.55,kg,Kilogramos
32,Argentina,2001,6,22251,Queso fundido,140.37,t,Toneladas,0,kg,Kilogramos
32,Argentina,2001,6,22222,Dulce de leche,10576.21,t,Toneladas,0.29,kg,Kilogramos
32,Argentina,2001,6,22120,Crema,2561.33,t,Toneladas,0.07,kg,Kilogramos
32,Argentina,2001,6,22222,Leche condensada,608.68,t,Toneladas,0.02,kg,Kilogramos
32,Argentina,2001,6,22241,Manteca,4362.35,t,Toneladas,0.12,kg,Kilogramos
32,Argentina,2001,6,22230,Yogur ,17833.99,t,Toneladas,0.48,kg,Kilogramos
32,Argentina,2001,6,22290,Postres lacteos y flanes,1791,t,Toneladas,0.05,kg,Kilogramos
32,Argentina,2001,7,22211,Leche en polvo entera ,6362.58,t,Toneladas,0.17,kg,Kilogramos
32,Argentina,2001,7,22212,Leche en polvo descremada,1823.38,t,Toneladas,0.05,kg,Kilogramos
32,Argentina,2001,7,22251,Quesos de baja humedad (pasta dura),5383.3,t,Toneladas,0.15,kg,Kilogramos
32,Argentina,2001,7,22251,Quesos de mediana humedad (pasta semidura),9837.86,t,Toneladas,0.27,kg,Kilogramos
32,Argentina,2001,7,22251,Quesos de alta humedad (pasta blanda),20375.03,t,Toneladas,0.55,kg,Kilogramos
32,Argentina,2001,7,22251,Queso fundido,-151.72,t,Toneladas,0,kg,Kilogramos
32,Argentina,2001,7,22222,Dulce de leche,10242.58,t,Toneladas,0.28,kg,Kilogramos
32,Argentina,2001,7,22120,Crema,2417.34,t,Toneladas,0.07,kg,Kilogramos
32,Argentina,2001,7,22222,Leche condensada,698.42,t,Toneladas,0.02,kg,Kilogramos
32,Argentina,2001,7,22241,Manteca,4171.19,t,Toneladas,0.11,kg,Kilogramos
32,Argentina,2001,7,22230,Yogur ,17540.26,t,Toneladas,0.47,kg,Kilogramos
32,Argentina,2001,7,22290,Postres lacteos y flanes,1806,t,Toneladas,0.05,kg,Kilogramos
32,Argentina,2001,8,22211,Leche en polvo entera ,9779.44,t,Toneladas,0.26,kg,Kilogramos
32,Argentina,2001,8,22212,Leche en polvo descremada,1130.81,t,Toneladas,0.03,kg,Kilogramos
32,Argentina,2001,8,22251,Quesos de baja humedad (pasta dura),4960.13,t,Toneladas,0.13,kg,Kilogramos
32,Argentina,2001,8,22251,Quesos de mediana humedad (pasta semidura),11720.43,t,Toneladas,0.32,kg,Kilogramos
32,Argentina,2001,8,22251,Quesos de alta humedad (pasta blanda),17403.24,t,Toneladas,0.47,kg,Kilogramos
32,Argentina,2001,8,22251,Queso fundido,-26.56,t,Toneladas,0,kg,Kilogramos
32,Argentina,2001,8,22222,Dulce de leche,9609.86,t,Toneladas,0.26,kg,Kilogramos
32,Argentina,2001,8,22120,Crema,2562.98,t,Toneladas,0.07,kg,Kilogramos
32,Argentina,2001,8,22222,Leche condensada,353.4,t,Toneladas,0.01,kg,Kilogramos
32,Argentina,2001,8,22241,Manteca,4051.46,t,Toneladas,0.11,kg,Kilogramos
32,Argentina,2001,8,22230,Yogur ,18970.23,t,Toneladas,0.51,kg,Kilogramos
32,Argentina,2001,8,22290,Postres lacteos y flanes,1635,t,Toneladas,0.04,kg,Kilogramos
